sentence,quarter,topic,topic_label
"Steve Squeri -- Chairman and Chief Executive Officer Well, you know, card fees are up because we continue to acquire more cards, and were continuing to acquire",2022 Q1,1,Executive & Financial
"And I think we acquired -- 68 of the consumer cards we acquired were fee-based cards, which is still slightly below where we were, I think, pre-pandemic",2022 Q1,-1,General
"So, what is important to understand is our card -- the majority of our card fee growth comes from new cards that we acquire",2022 Q1,0,Growth & Spending
"So, it doesnt just come from the fee increase, but weve also had a fee increase, which will come in over time",2022 Q1,0,Growth & Spending
"So, we feel really good about where we are from a card fee perspective",2022 Q1,0,Growth & Spending
"Let me just make one comment on sort of our overall loan growth, and then Jeff can get into the details",2022 Q1,0,Growth & Spending
"But, you know, the reality is pre-pandemic, we were growing slightly faster than the industry",2022 Q1,0,Growth & Spending
"We tend to have a lower share of our Card Members loan wallets than we do of their spending wallet, and our intent is to grow judiciously",2022 Q1,-1,General
"But we will probably hope to get back to growing and -- we are growing fast we are growing faster than the industry, but to get our balances back up",2022 Q1,0,Growth & Spending
But Ill let Jeff comment on the rest,2022 Q1,3,Outlook & Guidance
"Jeff Campbell -- Chief Financial Officer Well, I just emphasize financial location, Steve, of what you just said, which is we are now, Betsy, growing those lending balances faster than the industry",2022 Q1,1,Executive & Financial
And we absolutely expect that to continue,2022 Q1,0,Growth & Spending
"So, theres a lot of runway for growth on the lending side",2022 Q1,0,Growth & Spending
And because of quarters like we just had with a record level of new U.S,2022 Q1,-1,General
Platinum and Gold Cards on the consumer side and a record level of U.S,2022 Q1,0,Growth & Spending
"Business Platinum, Id expect net car fee growth to probably accelerate even further from where it is",2022 Q1,0,Growth & Spending
Operator Our next question will come from Bill Carcache with Wolfe Research,2022 Q1,1,Executive & Financial
Go ahead,2022 Q1,2,Customer & Cards
Bill Carcache -- Wolfe Research -- Analyst Hi,2022 Q1,1,Executive & Financial
"So, youve clearly navigated the pandemic exceptionally well, and your acceleration in investment spending couldnt have been better timed, as evidenced by your customer acquisition growth",2022 Q1,0,Growth & Spending
"But as you look ahead from here, I wanted to follow up on some of your earlier comments",2022 Q1,-1,General
"Are you at all concerned over the risk that the Fed may be forced to actually push the economy into recession to payment inflation? Does that give you any pause to be growing aggressively into that? I mean everything looks great now, but just would love to hear your thoughts a bit more on how you think about that risk",2022 Q1,0,Growth & Spending
And maybe if you could help us understand how you think the Amex customer base would perform in that kind of environment,2022 Q1,0,Growth & Spending
"Jeff Campbell -- Chief Financial Officer Well, as I said earlier, we are always, in terms of our guidance, planning for macroeconomic consensus, as while also making sure were thinking about other possibilities",2022 Q1,1,Executive & Financial
"And certainly, Bill, its just one example",2022 Q1,1,Executive & Financial
We are doing work today and making adjustments on the risk management side as we think about what the impact is of sustained levels of inflation at its current level on different aspects of our customer base because we want to make sure were positioned from a risk perspective for that,2022 Q1,-1,General
"Although, that is not the macroeconomic consensus",2022 Q1,0,Growth & Spending
"years, again, our ability to be agile and manage through a downturn, should that happen",2022 Q1,-1,General
And were trying to strike all those same balances right now,2022 Q1,-1,General
Operator Well go next to the line of Mark DeVries with Barclays,2022 Q1,1,Executive & Financial
"Go ahead, please",2022 Q1,2,Customer & Cards
"Mark DeVries -- Barclays -- Analyst Yes, thanks",2022 Q1,1,Executive & Financial
"You know, Steve, I think in your prepared comments, you alluded to both the new partnership with Vanguard and also some really strong activity out of Resy",2022 Q1,-1,General
"Could you just help us think through how kind of those two initiatives will really impact the top line? Steve Squeri -- Chairman and Chief Executive Officer Well, I think the way you got to think about both of these is we are constantly and continuously adding more benefits and more services to the card",2022 Q1,1,Executive & Financial
"When you look at both of those partnerships, they -- onto themselves, they do not have top-line growth",2022 Q1,0,Growth & Spending
"What they do, do though is they, in our mind, drive more engagement, drive more retention, and give people more reason to want to be with the card",2022 Q1,0,Growth & Spending
"Now, Ill just talk about Resy for a second",2022 Q1,0,Growth & Spending
"You know, Resy is not only a vehicle for giving our Card Members access to restaurant reservations, and Card Members do get access to the global dining program, but its also a card acquisition vehicle as well because Resy is an open platform",2022 Q1,0,Growth & Spending
"And so, Resy was all about where our Card Members spend their money and how we can, you know, integrate more with restaurants and connect our Card Members and really take advantage, you know, of our closed loop in a different way, not just for payments, but the reservation piece and then -- which leads to payments",2022 Q1,0,Growth & Spending
"And so, when you look at the partnerships that we have that are, you know, sort of around the core of the card",2022 Q1,0,Growth & Spending
And Im not talking about the Delta co-brand partnerships and so forth,2022 Q1,0,Growth & Spending
"But when you look at the other things that we do add on, what were constantly adding to our products are more services, better access, more experiences, and so forth, so that you continue to build the value propositions in different and more sustainable ways",2022 Q1,0,Growth & Spending
